<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.02.17	1.38597	1.38981	1.36647	1.36791	169018	0	0
2016.02.18	1.36774	1.37509	1.36528	1.37372	146726	0	0
2016.02.19	1.37361	1.38458	1.37339	1.37717	130414	0	0
2016.02.21	1.37765	1.37917	1.37753	1.37888	4140	0	0
2016.02.22	1.37886	1.37896	1.36614	1.37024	112335	0	0
2016.02.23	1.37026	1.38201	1.36942	1.37955	131892	0	0
2016.02.24	1.37954	1.38583	1.36768	1.37027	148625	0	0
2016.02.25	1.37027	1.37344	1.35164	1.35426	145052	0	0
2016.02.26	1.35424	1.35635	1.35040	1.35162	125873	0	0
2016.02.28	1.35202	1.35563	1.35198	1.35499	4966	0	0
2016.02.29	1.35495	1.35864	1.34807	1.35375	132627	0	0
2016.03.01	1.35375	1.35505	1.33850	1.34273	131135	0	0
2016.03.02	1.34271	1.34982	1.34114	1.34285	121914	0	0
2016.03.03	1.34277	1.34719	1.33704	1.34073	113809	0	0
2016.03.04	1.34072	1.34704	1.33122	1.33122	117096	0	0
2016.03.06	1.33347	1.33357	1.33194	1.33353	6117	0	0
2016.03.07	1.33357	1.33767	1.32605	1.32904	125072	0	0
2016.03.08	1.32895	1.34258	1.32888	1.34176	129948	0	0
2016.03.09	1.34178	1.34455	1.32276	1.32481	152899	0	0
2016.03.10	1.32486	1.33971	1.32308	1.33369	164874	0	0
2016.03.11	1.33370	1.33424	1.31668	1.32128	131688	0	0
2016.03.13	1.32252	1.32460	1.32238	1.32362	8344	0	0
2016.03.14	1.32360	1.33076	1.32103	1.32747	108913	0	0
2016.03.15	1.32746	1.34014	1.32696	1.33559	120358	0	0
2016.03.16	1.33531	1.34045	1.30924	1.31173	131210	0	0
2016.03.17	1.31190	1.31215	1.29447	1.29880	159068	0	0
2016.03.18	1.29896	1.30416	1.29225	1.30137	133224	0	0
2016.03.20	1.30017	1.30508	1.30017	1.30469	12904	0	0
2016.03.21	1.30475	1.31013	1.30206	1.30922	114852	0	0
2016.03.22	1.30922	1.31381	1.30275	1.30496	126714	0	0
2016.03.23	1.30493	1.32189	1.30375	1.32075	127517	0	0
2016.03.24	1.32076	1.32952	1.32063	1.32414	114091	0	0
2016.03.25	1.32406	1.32839	1.32240	1.32735	47589	0	0
2016.03.27	1.32720	1.32831	1.32649	1.32728	3505	0	0
2016.03.28	1.32729	1.32841	1.31666	1.31758	92499	0	0
2016.03.29	1.31759	1.32151	1.30498	1.30628	137648	0	0
2016.03.30	1.30627	1.30801	1.29111	1.29765	161016	0	0
2016.03.31	1.29777	1.30097	1.28566	1.29894	161591	0	0
2016.04.01	1.29895	1.31462	1.29677	1.30102	151346	0	0
2016.04.03	1.30240	1.30418	1.30203	1.30371	6045	0	0
2016.04.04	1.30369	1.30874	1.30019	1.30764	130111	0	0
2016.04.05	1.30763	1.32181	1.30725	1.31405	148302	0	0
2016.04.06	1.31409	1.31856	1.30621	1.30811	150636	0	0
2016.04.07	1.30815	1.31799	1.30179	1.31424	151002	0	0
2016.04.08	1.31422	1.31431	1.29514	1.29884	136214	0	0
2016.04.10	1.29869	1.29966	1.29756	1.29784	5634	0	0
2016.04.11	1.29788	1.30151	1.28846	1.29090	151132	0	0
2016.04.12	1.29086	1.29194	1.27492	1.27673	149289	0	0
2016.04.13	1.27682	1.28274	1.27435	1.28177	151400	0	0
2016.04.14	1.28173	1.28964	1.27812	1.28410	128306	0	0
2016.04.15	1.28426	1.29021	1.27963	1.28139	118817	0	0
2016.04.17	1.29420	1.29842	1.29298	1.29768	11425	0	0
2016.04.18	1.29756	1.29892	1.27626	1.27715	151316	0	0
2016.04.19	1.27722	1.27848	1.26300	1.26959	143421	0	0
2016.04.20	1.26961	1.27295	1.25924	1.26460	133939	0	0
2016.04.21	1.26461	1.27491	1.26269	1.27239	133893	0	0
2016.04.22	1.27234	1.27574	1.26214	1.26718	134209	0	0
2016.04.24	1.26568	1.26719	1.26499	1.26696	5548	0	0
2016.04.25	1.26694	1.27166	1.26561	1.26761	120930	0	0
2016.04.26	1.26763	1.26851	1.25943	1.26102	120924	0	0
2016.04.27	1.26104	1.26937	1.25704	1.25818	140707	0	0
2016.04.28	1.25821	1.26057	1.25142	1.25491	173105	0	0
2016.04.29	1.25487	1.25866	1.24975	1.25479	151657	0	0
2016.05.01	1.25543	1.25583	1.25369	1.25415	11122	0	0
2016.05.02	1.25429	1.25618	1.25124	1.25299	123978	0	0
2016.05.03	1.25300	1.27306	1.24602	1.26999	155969	0	0
2016.05.04	1.27009	1.28847	1.26964	1.28628	152999	0	0
2016.05.05	1.28620	1.28745	1.27847	1.28528	136258	0	0
2016.05.06	1.28547	1.29510	1.28302	1.29039	132340	0	0
2016.05.08	1.29401	1.29458	1.29167	1.29312	9967	0	0
2016.05.09	1.29314	1.30146	1.29052	1.29589	125858	0	0
2016.05.10	1.29590	1.29793	1.29071	1.29158	128610	0	0
2016.05.11	1.29158	1.29412	1.28293	1.28626	120158	0	0
2016.05.12	1.28614	1.28776	1.27707	1.28420	123324	0	0
2016.05.13	1.28418	1.29567	1.28400	1.29354	107780	0	0
2016.05.15	1.29452	1.29587	1.29420	1.29545	3509	0	0
2016.05.16	1.29579	1.29619	1.28740	1.28997	91219	0	0
2016.05.17	1.28995	1.29545	1.28365	1.29075	110223	0	0
2016.05.18	1.29071	1.30362	1.28934	1.30273	140722	0	0
2016.05.19	1.30273	1.31537	1.30273	1.30877	148163	0	0
2016.05.20	1.30882	1.31614	1.30760	1.31177	102856	0	0
2016.05.22	1.31112	1.31263	1.31112	1.31244	3514	0	0
2016.05.23	1.31244	1.31731	1.30983	1.31471	99320	0	0
2016.05.24	1.31471	1.31873	1.30854	1.31267	108547	0	0
2016.05.25	1.31264	1.31326	1.30139	1.30338	109167	0	0
2016.05.26	1.30340	1.30342	1.29101	1.29746	103078	0	0
2016.05.27	1.29741	1.30676	1.29675	1.30200	96913	0	0
2016.05.29	1.30255	1.30553	1.30228	1.30478	5620	0	0
2016.05.30	1.30489	1.30939	1.30323	1.30402	79420	0	0
2016.05.31	1.30393	1.31335	1.30161	1.30744	113168	0	0
2016.06.01	1.30750	1.31216	1.30416	1.30747	126040	0	0
2016.06.02	1.30745	1.31432	1.30549	1.30951	109258	0	0
2016.06.03	1.30964	1.31030	1.29145	1.29408	114502	0	0
2016.06.05	1.29478	1.29643	1.29389	1.29569	6157	0	0
2016.06.06	1.29570	1.29815	1.28023	1.28138	111347	0	0
2016.06.07	1.28140	1.28386	1.27323	1.27591	106328	0	0
2016.06.08	1.27580	1.27588	1.26538	1.26862	110030	0	0
2016.06.09	1.26862	1.27659	1.26699	1.27309	115768	0	0
2016.06.10	1.27321	1.27804	1.26594	1.27584	117417	0	0
2016.06.12	1.27795	1.27852	1.27675	1.27785	5113	0	0
2016.06.13	1.27780	1.28385	1.27492	1.28306	121957	0	0
2016.06.14	1.28312	1.28722	1.28145	1.28613	117628	0	0
2016.06.15	1.28613	1.29422	1.28253	1.29103	126129	0	0
2016.06.16	1.29102	1.30849	1.28943	1.29094	157984	0	0
2016.06.17	1.29107	1.29422	1.28288	1.28912	122266	0	0
2016.06.19	1.28439	1.28600	1.28375	1.28491	5968	0	0
2016.06.20	1.28496	1.28577	1.27717	1.27990	105578	0	0
2016.06.21	1.27979	1.28259	1.27618	1.28043	101605	0	0
2016.06.22	1.28058	1.28521	1.27411	1.28162	109303	0	0
2016.06.23	1.28125	1.28729	1.26771	1.28220	150820	0	0
2016.06.24	1.28187	1.30979	1.28143	1.29964	166684	0	0
2016.06.26	1.30424	1.30429	1.30118	1.30250	9787	0	0
2016.06.27	1.30237	1.31199	1.29933	1.30662	133593	0	0
2016.06.28	1.30666	1.31071	1.29656	1.30200	114415	0	0
2016.06.29	1.30202	1.30416	1.29307	1.29348	119190	0	0
2016.06.30	1.29348	1.30154	1.29137	1.29589	127662	0	0
2016.07.01	1.29581	1.29740	1.28645	1.29109	87625	0	0
2016.07.03	1.29158	1.29194	1.29063	1.29115	2412	0	0
2016.07.04	1.29115	1.29142	1.28308	1.28684	76578	0	0
2016.07.05	1.28667	1.30165	1.28465	1.30031	104678	0	0
2016.07.06	1.30065	1.30553	1.29471	1.29631	153085	0	0
2016.07.07	1.29627	1.30204	1.28760	1.29973	127094	0	0
2016.07.08	1.29977	1.30898	1.29874	1.30395	119039	0	0
2016.07.10	1.30440	1.30617	1.30371	1.30489	4897	0	0
2016.07.11	1.30460	1.31388	1.30290	1.31209	107793	0	0
2016.07.12	1.31203	1.31326	1.29803	1.30591	118339	0	0
2016.07.13	1.30581	1.30831	1.29352	1.29749	124293	0	0
2016.07.14	1.29745	1.29756	1.28618	1.29087	120908	0	0
2016.07.15	1.29085	1.29870	1.28607	1.29507	106213	0	0
2016.07.17	1.29443	1.29629	1.29332	1.29563	6523	0	0
2016.07.18	1.29543	1.30218	1.29264	1.29570	84356	0	0
2016.07.19	1.29577	1.30535	1.29548	1.30263	92518	0	0
2016.07.20	1.30261	1.30950	1.30127	1.30688	90933	0	0
